,lon,lat,date,type,x_m,y_m
60922,-81.11505546859827,-5.046681238289403,2020-01-01,satellite,9415.043480846682,2579.91786358878
61180,-81.19678078278895,-5.061507018030165,2020-01-04,satellite,356.54348084767116,938.9178636427969
61195,-81.16404763901497,-5.069074544815984,2020-01-04,satellite,3985.0434808466816,103.4178636688739
61196,-81.12427516786556,-5.069069841234815,2020-01-04,satellite,8393.543480848079,104.9178636688739
61197,-81.12419380601712,-5.068201384847858,2020-01-04,satellite,8402.543480848253,200.91786366701126
61331,-81.16097702985165,-5.019423184256727,2020-01-05,satellite,4324.04348084738,5591.91786349006
62022,-81.18891243524206,-5.040828923217907,2020-01-09,satellite,1228.0434808472637,3224.917863568291
62025,-81.14644113089754,-5.066704045429382,2020-01-09,satellite,5936.543480847962,365.9178636614233
62124,-81.11426106093606,-5.069451644782573,2020-01-11,satellite,9503.543480848137,62.91786367073655
65776,-81.13061602115481,-5.039282709483044,2020-02-07,satellite,7690.04348084802,3397.417863562703
66522,-81.15465613894514,-5.069728212187854,2020-02-12,satellite,5026.043480847322,31.41786367073655
66523,-81.1380648196855,-5.068456400154263,2020-02-12,satellite,6865.043480848311,172.41786366701126
66524,-81.12150100950497,-5.069273916550705,2020-02-12,satellite,8701.043480848311,82.41786367073655
66525,-81.11271708973185,-5.062259878298882,2020-02-12,satellite,9674.543480848428,857.9178636446595
66526,-81.11032213790381,-5.064065085358792,2020-02-12,satellite,9940.043480848253,658.4178636521101
66647,-81.15332623560072,-4.996111964729071,2020-02-13,satellite,5171.543480848428,8168.917863406241
73289,-81.16318934693723,-5.0461688434968135,2020-03-20,satellite,4079.543480847904,2635.4178635869175
73292,-81.12144688135832,-5.069287496595032,2020-03-20,satellite,8707.043480848894,80.91786367073655
74077,-81.14772500383808,-5.059104629401286,2020-03-24,satellite,5794.043480847846,1205.9178636334836
74081,-81.12170399955853,-5.069273878378781,2020-03-24,satellite,8678.543480848253,82.41786367073655
74082,-81.11776488693272,-5.063168161981888,2020-03-24,satellite,9115.043480848777,757.4178636483848
76891,-81.16655103145482,-5.068503971219092,2020-04-08,satellite,3707.5434808457503,166.41786366701126
76892,-81.16618593142987,-5.06960322299614,2020-04-08,satellite,3748.043480845634,44.91786367073655
76894,-81.14799724744465,-5.066120187231636,2020-04-08,satellite,5764.04348084674,430.41786365769804
85318,-81.12137921800526,-5.069287509299218,2020-05-07,satellite,8714.54348084773,80.91786367073655
85984,-81.13912057542711,-5.00579046645479,2020-05-09,satellite,6746.543480847846,7099.417863441631
85985,-81.13443518043711,-4.988381264057166,2020-05-09,satellite,7265.54348084837,9023.917863378301
86220,-81.1213656904004,-5.069314651591088,2020-05-10,satellite,8716.043480848195,77.91786367073655
86237,-81.10980797360217,-5.064499409071553,2020-05-10,satellite,9997.043480848952,610.4178636521101
86750,-81.1220404207153,-5.0591642557119965,2020-05-12,satellite,8641.043480848311,1199.9178636334836
86751,-81.12139276080973,-5.069341786262634,2020-05-12,satellite,8713.043480848428,74.91786367073655
86752,-81.12131155971551,-5.069314661748259,2020-05-12,satellite,8722.043480848602,77.91786367073655
88261,-81.12132508479063,-5.069273949581498,2020-05-27,satellite,8720.54348084866,82.41786367073655
88262,-81.12123034850768,-5.0692332577193975,2020-05-27,satellite,8731.043480848602,86.91786367073655
88263,-81.11069965694465,-5.0558688101329325,2020-05-27,satellite,9898.04348084866,1564.4178636223078
88376,-81.12146041402892,-5.069287494053345,2020-05-29,satellite,8705.543480848777,80.91786367073655
88377,-81.12140628081278,-5.069273934342465,2020-05-29,satellite,8711.543480847962,82.41786367073655
88378,-81.1212980118555,-5.069233245030925,2020-05-29,satellite,8723.543480847962,86.91786367073655
88379,-81.12112210990105,-5.06935540689083,2020-05-29,satellite,8743.043480847962,73.41786367073655
89225,-81.12136566507178,-5.069178952831449,2020-06-03,satellite,8716.04348084802,92.9178636688739
90693,-81.16089406343852,-5.067175557547282,2020-06-19,satellite,4334.543480847438,313.41786366328597
90902,-81.12486716365876,-5.051116777943446,2020-06-29,satellite,8327.543480848486,2089.4178636036813
91159,-81.14119059225565,-5.067220867496891,2020-07-14,satellite,6518.54348084738,308.91786366328597
91160,-81.14071683324639,-5.066678176041889,2020-07-14,satellite,6571.043480848661,368.9178636614233
91161,-81.13971500081219,-5.064724332153837,2020-07-14,satellite,6682.043480847089,584.9178636539727
91162,-81.13696846970815,-5.067479602717218,2020-07-14,satellite,6986.543480847671,280.41786366328597
91163,-81.12952410734648,-5.060356952025086,2020-07-14,satellite,7811.543480848311,1067.917863637209
91165,-81.11854524642484,-5.038240139776945,2020-07-14,satellite,9028.043480848719,3512.917863558978
91471,-81.19252130752587,-5.026606666686817,2020-07-21,satellite,827.5434808478458,4796.917863516137
91476,-81.17781214557023,-5.02604090940365,2020-07-21,satellite,2458.043480847962,4859.917863514274
91477,-81.17525655174742,-5.033165777795947,2020-07-21,satellite,2741.543480847322,4072.4178635403514
91478,-81.17106786678926,-5.005022986262315,2020-07-21,satellite,3205.0434808480786,7183.417863437906
91479,-81.13879038209913,-5.04403047420511,2020-07-21,satellite,6784.043480848544,2872.417863579467
91480,-81.11941275617438,-5.046232645559644,2020-07-21,satellite,8932.043480847555,2629.4178635869175
94486,-81.18101611333478,-5.063859198878189,2020-07-28,satellite,2104.043480847322,679.4178636502475
94487,-81.17561795191851,-5.068732260101836,2020-07-28,satellite,2702.543480847962,140.9178636688739
94490,-81.14010857053256,-5.0699486459479735,2020-07-28,satellite,6638.543480848195,7.417863672599196
94492,-81.12140627574534,-5.069246794590588,2020-07-28,satellite,8711.54348084866,85.41786367073655
94824,-81.16626715509427,-5.069711760914279,2020-08-07,satellite,3739.043480847322,32.917863672599196
94825,-81.12144688389292,-5.069301066470935,2020-08-07,satellite,8707.043480848428,79.41786367073655
94837,-81.13768443538876,-4.99709246670737,2020-08-08,satellite,6905.5434808472055,8060.917863409966
94845,-81.18747919527092,-5.044859582169614,2020-08-09,satellite,1387.0434808473801,2779.4178635813296
94846,-81.16464247406245,-5.066699669606929,2020-08-09,satellite,3919.0434808482532,365.9178636614233
94847,-81.13944376814355,-5.062010416798821,2020-08-09,satellite,6712.043480847904,884.9178636446595
94848,-81.13544470899475,-5.028398675133142,2020-08-09,satellite,7154.543480848137,4600.417863523588
94849,-81.1196057893189,-5.0657596714586415,2020-08-09,satellite,8911.043480847788,470.91786365769804
94971,-81.12135214759878,-5.069260374626991,2020-08-16,satellite,8717.543480847846,83.91786367073655
95053,-81.12125740878565,-5.069206112892798,2020-08-23,satellite,8728.043480848835,89.91786367073655
95149,-81.16435077655862,-5.036873194630744,2020-08-27,satellite,3950.543480847322,3662.91786355339
95150,-81.16328379736942,-5.045069660951305,2020-08-27,satellite,4069.0434808472055,2756.9178635831922
95151,-81.15742473827983,-5.046563792205957,2020-08-27,satellite,4718.543480848137,2591.91786358878
95152,-81.12212280915551,-5.065528513414877,2020-08-27,satellite,8632.04348084866,496.4178636558354
95153,-81.1212980245128,-5.069301094410871,2020-08-27,satellite,8723.543480848137,79.41786367073655
95415,-81.15736243446358,-5.068750529596454,2020-09-04,satellite,4726.0434808472055,139.4178636688739
96750,-81.15452071881286,-5.069334718694099,2020-09-17,satellite,5041.043480847846,74.91786367073655
96752,-81.1394454316487,-5.069772381041976,2020-09-17,satellite,6712.043480848544,26.917863672599196
