,lon,lat,date,type,x_m,y_m
61157,-81.3707769381372,-4.581890266626667,2020-01-04,satellite,3237.3151154541993,7530.585688719526
61158,-81.3651509908529,-4.580956844905784,2020-01-04,satellite,3861.315115453326,7634.085688715801
61166,-81.32507230888882,-4.646722221482624,2020-01-04,satellite,8310.315115452104,366.5856889523566
61168,-81.31673714018109,-4.575850513747407,2020-01-04,satellite,9231.31511545385,8201.085688697174
61169,-81.31588524983961,-4.57594587954767,2020-01-04,satellite,9325.815115454141,8190.585688697174
61170,-81.31575073015435,-4.57756075678035,2020-01-04,satellite,9340.815115454549,8012.085688702762
61171,-81.31516155020535,-4.621568170490081,2020-01-04,satellite,9408.315115455014,3147.5856888629496
61172,-81.31343830206195,-4.577480354236981,2020-01-04,satellite,9597.3151154542,8021.085688702762
61173,-81.31233495247028,-4.621189465124912,2020-01-04,satellite,9721.81511545484,3189.585688861087
63230,-81.32590914337915,-4.643112252611686,2020-01-19,satellite,8217.315115454083,765.5856889411807
63231,-81.32581382811559,-4.641701031216284,2020-01-19,satellite,8227.815115453908,921.5856889355928
63232,-81.32519395079369,-4.646559327063375,2020-01-19,satellite,8296.815115454316,384.5856889523566
63233,-81.32518053866438,-4.646803590714314,2020-01-19,satellite,8298.3151154542,357.5856889542192
63234,-81.32505924485191,-4.647726397076059,2020-01-19,satellite,8311.815115454083,255.58568895608187
63235,-81.32505879104627,-4.646735797575989,2020-01-19,satellite,8311.815115453268,365.0856889523566
63236,-81.31692019590218,-4.622870094602861,2020-01-19,satellite,9213.315115453966,3003.585688866675
63237,-81.31230791122938,-4.621203046927233,2020-01-19,satellite,9724.815115454781,3188.085688861087
63269,-81.31783212813276,-4.575049404447501,2020-01-20,satellite,9109.81511545484,8289.585688693449
63270,-81.3176969069852,-4.57506303437198,2020-01-20,satellite,9124.815115454025,8288.085688695312
63271,-81.31680472996636,-4.575796204242916,2020-01-20,satellite,9223.815115452919,8207.085688697174
63272,-81.3127973131217,-4.56498275322656,2020-01-20,satellite,9667.815115453908,9402.585688658059
64983,-81.36760320819319,-4.589952380134915,2020-02-06,satellite,3589.815115453792,6639.585688747466
64984,-81.36376284864821,-4.5902528845764845,2020-02-06,satellite,4015.8151154534426,6606.585688749328
64988,-81.323794130166,-4.631538132194556,2020-02-06,satellite,8451.315115454374,2045.0856888983399
64989,-81.32303649112892,-4.630859985309111,2020-02-06,satellite,8535.315115454898,2120.085688896477
64992,-81.31473628578226,-4.57701840782261,2020-02-06,satellite,9453.315115455014,8072.0856887008995
64993,-81.31469568788603,-4.576950576183084,2020-02-06,satellite,9457.815115454083,8079.5856887008995
65765,-81.3265864663041,-4.645554513807737,2020-02-07,satellite,8142.315115454199,495.5856889486313
66015,-81.32504527320323,-4.6467493736691265,2020-02-09,satellite,8313.315115453443,363.5856889523566
66016,-81.32392918266814,-4.631130974344446,2020-02-09,satellite,8436.315115454374,2090.085688896477
66017,-81.323794130166,-4.631538132194556,2020-02-09,satellite,8451.315115454374,2045.0856888983399
66018,-81.32354322419481,-4.644823144394592,2020-02-09,satellite,8479.8151154542,576.5856889467686
67174,-81.32521531646894,-4.634142893974265,2020-02-18,satellite,8293.815115453617,1757.085688907653
71129,-81.37551760775092,-4.570719835251732,2020-03-10,satellite,2710.815115453617,8765.085688678548
71131,-81.33376081960408,-4.601896926501786,2020-03-10,satellite,7344.315115453559,5321.085688792169
71133,-81.3324733536946,-4.595940357344328,2020-03-10,satellite,7486.815115454316,5979.585688769817
71137,-81.32384064171342,-4.584898448719713,2020-03-10,satellite,8443.8151154542,7200.585688730702
71139,-81.31198612534766,-4.565363063877483,2020-03-10,satellite,9757.8151154535,9360.585688659921
77061,-81.32610029317055,-4.64706099308303,2020-04-10,satellite,8196.315115453734,329.0856889542192
78098,-81.33824495364864,-4.618721429758364,2020-04-17,satellite,6847.815115453384,3461.0856888517737
78099,-81.32531590990305,-4.6470884952825955,2020-04-17,satellite,8283.315115454025,326.0856889542192
78100,-81.32531589123943,-4.647047785714953,2020-04-17,satellite,8283.31511545484,330.5856889542192
78101,-81.3168182467291,-4.575782628362447,2020-04-17,satellite,9222.315115453326,8208.585688697174
78102,-81.31253161760745,-4.575960921842944,2020-04-17,satellite,9697.815115454549,8189.085688697174
80443,-81.32379413633733,-4.631551702058446,2020-04-22,satellite,8451.315115453152,2043.5856888983399
82368,-81.32073783303262,-4.571275678128381,2020-04-25,satellite,8787.315115454665,8706.58568868041
82369,-81.31604212302165,-4.625041667618249,2020-04-25,satellite,9310.815115453617,2763.5856888741255
85053,-81.3251401467999,-4.647197135259298,2020-05-02,satellite,8302.815115454723,314.0856889542192
88350,-81.37543294820819,-4.5898940239546855,2020-05-29,satellite,2721.3151154534426,6645.585688747466
89213,-81.32110718385778,-4.611008137763305,2020-06-03,satellite,8748.315115452919,4314.585688823834
89355,-81.39551664135985,-4.593872687737896,2020-06-08,satellite,493.81511545326794,6204.585688762367
89356,-81.39484278622737,-4.5980389823161065,2020-06-08,satellite,568.8151154521038,5744.085688777268
89401,-81.39827257388333,-4.613248780538963,2020-06-11,satellite,189.31511545268586,4062.5856888331473
89402,-81.36695468979794,-4.617485870758545,2020-06-11,satellite,3663.3151154542575,3596.0856888480484
89403,-81.36338662780749,-4.621667210908224,2020-06-11,satellite,4059.3151154539664,3134.0856888629496
89404,-81.36209552817932,-4.635753338567191,2020-06-11,satellite,4203.3151154542575,1577.085688913241
89405,-81.35443236356852,-4.618279288898042,2020-06-11,satellite,5052.3151154528605,3509.085688849911
90770,-81.32949228837822,-4.641577194419984,2020-06-24,satellite,7819.815115453384,935.0856889355928
90771,-81.32509934457232,-4.64669506929521,2020-06-24,satellite,8307.315115454083,369.5856889523566
90772,-81.32499115832378,-4.646708689044316,2020-06-24,satellite,8319.3151154535,368.0856889523566
90773,-81.32366495897217,-4.644863798113573,2020-06-24,satellite,8466.315115454083,572.0856889467686
